Transaction_ID,Customer_ID,Option_ID,Option_Name,Purchase_Date,Price,Dealer_ID
20001,10647,OPT005,Wireless Phone Charging,2024-04-05,1073,1038
20002,10878,OPT002,Panoramic Sunroof,2024-12-26,2572,1016
20003,10277,OPT010,All-Wheel Drive,2024-05-11,2190,1019
20004,10576,OPT008,Wireless Phone Charging,2024-02-20,1981,1017
20005,10744,OPT004,Navigation System,2024-05-07,2461,1016
20006,10474,OPT009,Leather Upholstery,2024-11-28,1240,1027
20007,10948,OPT006,Leather Upholstery,2024-03-23,1734,1035
20008,10141,OPT002,4-Zone Climate Control,2024-04-12,3460,1014
20009,10713,OPT010,Harman Kardon System,2024-10-10,2829,1025
20010,10046,OPT009,Premium Sound System,2024-01-17,1114,1004
20011,10077,OPT002,Adaptive LED Headlights,2024-06-13,2440,1024
20012,10712,OPT003,Premium Sound System,2024-10-15,2667,1022
20013,10461,OPT010,Panoramic Sunroof,2024-03-02,2712,1009
20014,10333,OPT004,Harman Kardon System,2024-01-30,1994,1004
20015,10533,OPT009,Harman Kardon System,2024-09-28,1334,1023
20016,10031,OPT009,Leather Upholstery,2024-05-13,1626,1048
20017,10924,OPT002,Wireless Phone Charging,2024-11-28,1280,1010
20018,10263,OPT005,Navigation System,2024-01-16,1427,1014
20019,10395,OPT003,Harman Kardon System,2024-06-10,2476,1039
20020,10300,OPT008,Premium Sound System,2024-06-04,2147,1028
20021,10121,OPT005,Navigation System,2024-02-18,1987,1020
20022,10666,OPT008,Wireless Phone Charging,2024-12-11,2997,1009
20023,10581,OPT001,Panoramic Sunroof,2024-12-19,1313,1007
20024,10767,OPT004,4-Zone Climate Control,2024-03-15,1150,1003
20025,10187,OPT002,Adaptive LED Headlights,2024-07-02,2670,1017
20026,10880,OPT004,Harman Kardon System,2024-05-12,3157,1045
20027,10016,OPT005,Adaptive LED Headlights,2024-09-07,2266,1047
20028,10048,OPT009,Adaptive LED Headlights,2024-11-15,1361,1021
20029,10041,OPT008,Navigation System,2024-06-30,3364,1017
20030,10869,OPT007,Parking Assist Plus,2024-12-13,1278,1017
20031,10675,OPT008,Navigation System,2024-08-24,2900,1029
20032,10010,OPT002,Adaptive LED Headlights,2024-08-23,1263,1050
20033,10817,OPT007,Adaptive LED Headlights,2024-02-24,2550,1008
20034,10721,OPT005,All-Wheel Drive,2024-09-05,2363,1039
20035,10417,OPT008,Adaptive LED Headlights,2024-10-11,2355,1010
20036,10396,OPT008,Panoramic Sunroof,2024-04-29,2360,1025
20037,10245,OPT004,4-Zone Climate Control,2024-05-22,2670,1026
20038,10220,OPT007,Adaptive LED Headlights,2024-06-28,1438,1032
20039,10777,OPT008,Panoramic Sunroof,2024-12-17,2162,1030
20040,10400,OPT010,Premium Sound System,2024-01-18,3205,1012
