Month,Model,Total_Sales,Target,Achievement_Rate,Revenue_USD
2024-01,BMW 320i,165,300,55.0,6930000
2024-01,BMW 330i,174,300,58.0,8700000
2024-01,BMW 530i,202,300,67.33,12120000
2024-01,BMW X3,291,300,97.0,13968000
2024-01,BMW X5,351,300,117.0,22815000
2024-01,BMW X7,325,300,108.33,27625000
2024-01,BMW M440i,393,300,131.0,29475000
2024-01,BMW i7,197,300,65.67,18715000
2024-02,BMW 320i,385,300,128.33,16170000
2024-02,BMW 330i,348,300,116.0,17400000
2024-02,BMW 530i,265,300,88.33,15900000
2024-02,BMW X3,129,300,43.0,6192000
2024-02,BMW X5,346,300,115.33,22490000
2024-02,BMW X7,205,300,68.33,17425000
2024-02,BMW M440i,150,300,50.0,11250000
2024-02,BMW i7,180,300,60.0,17100000
2024-03,BMW 320i,232,300,77.33,9744000
2024-03,BMW 330i,384,300,128.0,19200000
2024-03,BMW 530i,237,300,79.0,14220000
2024-03,BMW X3,283,300,94.33,13584000
2024-03,BMW X5,372,300,124.0,24180000
2024-03,BMW X7,168,300,56.0,14280000
2024-03,BMW M440i,133,300,44.33,9975000
2024-03,BMW i7,361,300,120.33,34295000
2024-04,BMW 320i,152,300,50.67,6384000
2024-04,BMW 330i,304,300,101.33,15200000
2024-04,BMW 530i,225,300,75.0,13500000
2024-04,BMW X3,334,300,111.33,16032000
2024-04,BMW X5,142,300,47.33,9230000
2024-04,BMW X7,339,300,113.0,28815000
2024-04,BMW M440i,210,300,70.0,15750000
2024-04,BMW i7,348,300,116.0,33060000
2024-05,BMW 320i,250,300,83.33,10500000
2024-05,BMW 330i,282,300,94.0,14100000
2024-05,BMW 530i,194,300,64.67,11640000
2024-05,BMW X3,107,300,35.67,5136000
2024-05,BMW X5,283,300,94.33,18395000
2024-05,BMW X7,380,300,126.67,32300000
2024-05,BMW M440i,294,300,98.0,22050000
2024-05,BMW i7,294,300,98.0,27930000
2024-06,BMW 320i,254,300,84.67,10668000
2024-06,BMW 330i,192,300,64.0,9600000
2024-06,BMW 530i,259,300,86.33,15540000
2024-06,BMW X3,160,300,53.33,7680000
2024-06,BMW X5,221,300,73.67,14365000
2024-06,BMW X7,150,300,50.0,12750000
2024-06,BMW M440i,376,300,125.33,28200000
2024-06,BMW i7,104,300,34.67,9880000
2024-07,BMW 320i,191,300,63.67,8022000
2024-07,BMW 330i,269,300,89.67,13450000
2024-07,BMW 530i,121,300,40.33,7260000
2024-07,BMW X3,100,300,33.33,4800000
2024-07,BMW X5,232,300,77.33,15080000
2024-07,BMW X7,332,300,110.67,28220000
2024-07,BMW M440i,111,300,37.0,8325000
2024-07,BMW i7,145,300,48.33,13775000
2024-08,BMW 320i,133,300,44.33,5586000
2024-08,BMW 330i,177,300,59.0,8850000
2024-08,BMW 530i,317,300,105.67,19020000
2024-08,BMW X3,172,300,57.33,8256000
2024-08,BMW X5,381,300,127.0,24765000
2024-08,BMW X7,348,300,116.0,29580000
2024-08,BMW M440i,146,300,48.67,10950000
2024-08,BMW i7,220,300,73.33,20900000
2024-09,BMW 320i,313,300,104.33,13146000
2024-09,BMW 330i,338,300,112.67,16900000
2024-09,BMW 530i,155,300,51.67,9300000
2024-09,BMW X3,206,300,68.67,9888000
2024-09,BMW X5,147,300,49.0,9555000
2024-09,BMW X7,160,300,53.33,13600000
2024-09,BMW M440i,125,300,41.67,9375000
2024-09,BMW i7,391,300,130.33,37145000
2024-10,BMW 320i,356,300,118.67,14952000
2024-10,BMW 330i,107,300,35.67,5350000
2024-10,BMW 530i,212,300,70.67,12720000
2024-10,BMW X3,352,300,117.33,16896000
2024-10,BMW X5,279,300,93.0,18135000
2024-10,BMW X7,306,300,102.0,26010000
2024-10,BMW M440i,226,300,75.33,16950000
2024-10,BMW i7,155,300,51.67,14725000
2024-11,BMW 320i,313,300,104.33,13146000
2024-11,BMW 330i,113,300,37.67,5650000
2024-11,BMW 530i,127,300,42.33,7620000
2024-11,BMW X3,177,300,59.0,8496000
2024-11,BMW X5,315,300,105.0,20475000
2024-11,BMW X7,253,300,84.33,21505000
2024-11,BMW M440i,113,300,37.67,8475000
2024-11,BMW i7,286,300,95.33,27170000
2024-12,BMW 320i,106,300,35.33,4452000
2024-12,BMW 330i,102,300,34.0,5100000
2024-12,BMW 530i,210,300,70.0,12600000
2024-12,BMW X3,337,300,112.33,16176000
2024-12,BMW X5,338,300,112.67,21970000
2024-12,BMW X7,373,300,124.33,31705000
2024-12,BMW M440i,393,300,131.0,29475000
2024-12,BMW i7,326,300,108.67,30970000
