Region,Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Seoul,BMW 320i,48,38,29,57,27,40,53,33,40,28,22,35
Seoul,BMW 330i,45,49,38,17,41,21,38,58,47,55,13,32
Seoul,BMW 530i,42,21,36,58,44,68,41,56,45,33,26,14
Seoul,BMW X3,46,16,35,23,58,37,18,39,31,67,20,37
Seoul,BMW X5,11,29,42,21,63,27,61,49,31,34,47,51
Seoul,BMW X7,13,11,20,56,23,48,32,40,61,51,21,47
Seoul,BMW M440i,23,40,29,22,33,42,54,35,33,62,29,35
Seoul,BMW i7,35,34,59,55,48,34,59,15,42,24,20,35
Busan,BMW 320i,10,17,38,25,36,27,49,49,50,22,53,50
Busan,BMW 330i,37,16,23,22,31,53,47,62,40,41,48,46
Busan,BMW 530i,49,31,41,49,20,54,51,61,31,20,12,16
Busan,BMW X3,35,23,53,41,28,34,29,40,59,30,43,50
Busan,BMW X5,41,13,44,51,42,58,59,29,60,46,47,24
Busan,BMW X7,41,16,36,42,21,61,59,20,45,45,31,41
Busan,BMW M440i,20,37,39,53,52,20,41,27,58,20,50,17
Busan,BMW i7,17,36,23,51,52,61,58,38,32,49,43,35
Incheon,BMW 320i,21,48,16,17,68,56,63,31,66,19,13,39
Incheon,BMW 330i,32,46,46,47,20,38,16,58,43,49,17,43
Incheon,BMW 530i,13,20,31,52,43,24,48,20,39,28,27,44
Incheon,BMW X3,18,15,30,43,22,39,50,33,43,20,30,31
Incheon,BMW X5,41,16,55,47,59,58,32,54,18,28,39,36
Incheon,BMW X7,32,40,44,56,54,26,30,40,65,66,13,12
Incheon,BMW M440i,21,14,51,46,28,60,49,33,65,33,14,31
Incheon,BMW i7,33,42,38,25,68,27,50,52,57,37,46,36
Daegu,BMW 320i,44,34,43,32,65,37,16,49,33,58,47,44
Daegu,BMW 330i,13,42,28,35,67,39,22,21,20,34,44,23
Daegu,BMW 530i,31,31,44,52,57,64,22,41,44,51,32,41
Daegu,BMW X3,42,37,47,19,67,38,18,49,66,34,39,41
Daegu,BMW X5,38,15,49,55,56,43,43,63,63,48,46,44
Daegu,BMW X7,30,41,37,47,22,37,39,56,48,20,51,35
Daegu,BMW M440i,41,31,37,16,46,61,16,40,34,57,44,20
Daegu,BMW i7,48,38,56,40,54,69,39,38,30,24,47,31
Daejeon,BMW 320i,10,17,30,28,31,42,29,42,51,19,43,34
Daejeon,BMW 330i,31,34,36,36,68,61,20,29,60,54,44,19
Daejeon,BMW 530i,14,48,18,20,64,51,44,61,52,57,27,24
Daejeon,BMW X3,39,28,31,33,47,45,51,40,40,26,23,12
Daejeon,BMW X5,10,43,46,39,59,64,15,30,56,22,33,40
Daejeon,BMW X7,12,21,40,30,56,41,43,28,45,22,41,16
Daejeon,BMW M440i,21,25,40,40,67,40,53,50,50,47,48,34
Daejeon,BMW i7,19,14,50,48,50,29,33,46,18,22,15,27
Gwangju,BMW 320i,33,25,16,42,51,46,34,38,29,67,46,44
Gwangju,BMW 330i,42,46,26,17,20,52,54,24,60,61,40,24
Gwangju,BMW 530i,21,40,16,49,42,36,40,22,46,43,21,37
Gwangju,BMW X3,43,16,18,59,30,48,50,39,38,53,21,48
Gwangju,BMW X5,18,33,49,49,67,55,32,63,56,49,35,34
Gwangju,BMW X7,41,46,26,27,42,44,49,55,47,34,31,36
Gwangju,BMW M440i,31,22,33,50,31,60,33,26,26,24,39,25
Gwangju,BMW i7,40,28,30,19,54,31,39,35,53,40,27,50
Ulsan,BMW 320i,48,23,45,19,54,42,43,57,28,35,23,20
Ulsan,BMW 330i,19,26,52,21,65,32,54,56,26,67,38,13
Ulsan,BMW 530i,14,38,51,52,38,27,62,59,18,39,28,18
Ulsan,BMW X3,34,13,50,20,50,38,58,53,44,27,37,30
Ulsan,BMW X5,48,12,59,27,69,47,34,42,25,58,50,12
Ulsan,BMW X7,12,22,42,39,52,57,20,58,62,49,32,27
Ulsan,BMW M440i,30,20,51,50,54,38,34,32,64,58,25,26
Ulsan,BMW i7,40,10,17,30,42,30,26,24,49,33,19,49
Gyeonggi,BMW 320i,21,33,42,22,47,55,40,22,67,45,39,48
Gyeonggi,BMW 330i,45,36,31,23,52,39,27,42,65,46,24,46
Gyeonggi,BMW 530i,15,27,19,39,21,29,44,64,62,22,44,12
Gyeonggi,BMW X3,27,41,25,35,45,44,36,41,66,30,44,45
Gyeonggi,BMW X5,44,10,35,20,47,36,19,45,22,55,14,34
Gyeonggi,BMW X7,46,46,24,24,38,36,35,28,26,63,12,24
Gyeonggi,BMW M440i,13,10,54,46,53,47,45,22,56,43,45,14
Gyeonggi,BMW i7,21,10,58,19,49,49,31,62,64,40,26,48
